id,imdb_id,title,original_title,release_date,popularity,vote_average,vote_count,genre_ids,original_language,budget,revenue,runtime,production_companies,director,cast
4174,tt0038109,Spellbound,Spellbound,1945-10-31,5.4126,7.388,1009,"[18, 80, 9648, 10749, 53]",en,1500000,7000000,111,"Selznick International Pictures, Vanguard Films",Alfred Hitchcock,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll, Rhonda Fleming"
1187775,tt2509350,Alger Et Ses Environs,Alger Et Ses Environs,1945-01-01,4.4928,10.0,1,[99],fr,0,0,13,Afric Film,"Georges Clerc, J.R Barth",André Sarrouy
851,tt0037558,Brief Encounter,Brief Encounter,1945-11-24,4.1574,7.703,730,"[18, 10749]",en,1200000,0,86,"Cineguild, J. Arthur Rank Organisation",David Lean,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey, Cyril Raymond"
26243,tt0037691,Fallen Angel,Fallen Angel,1945-11-15,4.1113,6.552,135,"[80, 9648, 18, 10749]",en,0,1500000,98,20th Century Fox,Otto Preminger,"Alice Faye, Dana Andrews, Linda Darnell, Charles Bickford, Anne Revere"
307,tt0038890,"Rome, Open City",Roma città aperta,1945-10-08,3.818,8.011,999,"[18, 10752]",it,20000,1000000,104,Excelsa Film,Roberto Rossellini,"Aldo Fabrizi, Marcello Pagliero, Harry Feist, Anna Magnani, Maria Michi"
28580,tt0037884,The Lost Weekend,The Lost Weekend,1945-11-29,3.784,7.612,684,[18],en,1250000,11000000,101,Paramount Pictures,Billy Wilder,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling"
2457,tt0037674,Children of Paradise,Les Enfants du Paradis,1945-03-15,3.774,8.0,466,"[18, 10749]",fr,0,1457,190,Société Nouvelle Pathé Cinéma,Marcel Carné,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Marcel Herrand, María Casares"
3309,tt0037913,Mildred Pierce,Mildred Pierce,1945-10-20,3.6735,7.615,464,"[80, 18]",en,1453000,5638000,111,Warner Bros. Pictures,Michael Curtiz,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden, Ann Blyth"
16559,tt0037988,The Picture of Dorian Gray,The Picture of Dorian Gray,1945-03-03,3.6575,7.141,308,"[18, 27, 14]",en,0,0,111,Metro-Goldwyn-Mayer,Albert Lewin,"George Sanders, Hurd Hatfield, Donna Reed, Angela Lansbury, Peter Lawford"
17058,tt0038057,Scarlet Street,Scarlet Street,1945-12-25,3.5963,7.598,455,"[18, 80]",en,1202000,2948500,103,"Diana Productions, Universal Pictures",Fritz Lang,"Edward G. Robinson, Joan Bennett, Dan Duryea, Margaret Lindsay, Jess Barker"
423795,tt0150258,Daffydilly Daddy,Daffydilly Daddy,1945-05-25,3.5255,8.0,1,[16],en,0,0,7,Famous Studios,Seymour Kneitel,"Jackson Beck, Cecil Roy"
54028,tt0037604,The Clock,The Clock,1945-05-25,3.4534,7.1,53,"[10749, 18]",en,0,0,90,Metro-Goldwyn-Mayer,Vincente Minnelli,"Judy Garland, Robert Walker, James Gleason, Keenan Wynn, Lucile Gleason"
31561,tt0038390,Caesar and Cleopatra,Caesar and Cleopatra,1945-12-11,3.3526,6.2,59,"[18, 36, 35]",en,0,0,138,"Gabriel Pascal Productions, J. Arthur Rank Organisation",Gabriel Pascal,"Claude Rains, Vivien Leigh, Stewart Granger, Flora Robson, Francis L. Sullivan"
13581,tt0037635,Dead of Night,Dead of Night,1945-09-09,3.3231,7.183,312,"[27, 53]",en,0,0,103,Ealing Studios,"Charles Crichton, Robert Hamer, Alberto Cavalcanti, Basil Dearden","Mervyn Johns, Roland Culver, Mary Merrall, Googie Withers, Frederick Valk"
4886,tt0037515,And Then There Were None,And Then There Were None,1945-10-31,3.2376,7.055,426,"[80, 18, 9648]",en,0,1000000,98,"Rene Clair Productions, 20th Century Fox",René Clair,"Barry Fitzgerald, Walter Huston, Louis Hayward, Roland Young, June Duprez"
22584,tt0037382,To Have and Have Not,To Have and Have Not,1945-01-20,3.2252,7.455,587,"[12, 10749, 10752]",en,0,3650000,100,Warner Bros. Pictures,Howard Hawks,"Humphrey Bogart, Lauren Bacall, Walter Brennan, Dolores Moran, Hoagy Carmichael"
431830,tt0037523,Bambú,Bambú,1945-10-15,3.1839,5.0,2,"[18, 12, 10749]",es,0,0,98,,José Luis Sáenz de Heredia,"Imperio Argentina, Luis Peña, Fernando Fernán Gómez, Fernando Fernández de Córdoba, Julia Lajos"
600183,tt0180619,O Cortiço,O Cortiço,1945-07-16,3.1647,5.333,3,[18],pt,0,0,0,Cinédia,Luiz de Barros,"Manoel Vieira, Horacina Correia, Miguel Orico, Manoel Rocha, Colé Santana"
43176,tt0039116,Ziegfeld Follies,Ziegfeld Follies,1945-08-26,3.0963,6.0,59,"[10402, 35]",en,3403000,5344000,110,Metro-Goldwyn-Mayer,"Vincente Minnelli, Lemuel Ayers, George Sidney, Roy Del Ruth, Robert Lewis","William Powell, Fred Astaire, Lucille Ball, Lucille Bremer, Fanny Brice"
